Park,Park_Code,Site_Name,Station_Name,Event_Date,Marker_Horizon,Observation_Number,Depth_mm,Data_Processing_Level,Observation_Type,Core_Condition,Core_Type,Core_Notes
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,6/8/2010,C,1,11,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,6/8/2010,A,1,13,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,6/8/2010,B,1,5,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,6/8/2010,B,2,5,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,6/8/2010,A,2,12,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,6/8/2010,C,2,10,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,6/8/2010,C,3,8,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,6/8/2010,A,3,11,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,6/8/2010,B,3,6,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,6/8/2010,C,4,7,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,4/7/2011,C,1,17,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,4/7/2011,A,1,21,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,4/7/2011,B,1,16,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,4/7/2011,B,2,14,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,4/7/2011,A,2,25,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,4/7/2011,C,2,18,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,4/7/2011,C,3,15,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,4/7/2011,A,3,28,Provisional,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-1,4/7/2011,B,3,16,Provisional,Standard observation,Unknown,Cryogenic,
